2018-02-15 22:00:42,621 INFO  [TableMetadata] - HHH000126: Indexes: [fk_91ik0ggqkcwdde3bjco1da0gf, fk_lb3u5p37p6e33a9caoi64r1cj, uk_3oyo6ynive1sdpf54j7lx3ggb, fk_btejhdyv6se49077y8v2sw5sq, fk_j0jn9c30xitfotmamc9181go5, primary]
2018-02-15 22:00:42,625 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence1_tags
2018-02-15 22:00:42,625 INFO  [TableMetadata] - HHH000037: Columns: [competence1, tags]
2018-02-15 22:00:42,626 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_9lsylf57uy3m2se4ve4ameihu, fk_njpyjqs5thuuyw5xwm1paihxf]
2018-02-15 22:00:42,626 INFO  [TableMetadata] - HHH000126: Indexes: [fk_9lsylf57uy3m2se4ve4ameihu, primary]
2018-02-15 22:00:42,630 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence_activity1
2018-02-15 22:00:42,630 INFO  [TableMetadata] - HHH000037: Columns: [competence, act_order, deleted, activity, created, description, id, title]
2018-02-15 22:00:42,630 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_ka2ffpd609s5ug445vou0anhi, fk_px25x3t4d4wxgujuocgi5mc51]
2018-02-15 22:00:42,630 INFO  [TableMetadata] - HHH000126: Indexes: [fk_ka2ffpd609s5ug445vou0anhi, fk_px25x3t4d4wxgujuocgi5mc51, primary]
2018-02-15 22:00:42,639 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence_assessment
2018-02-15 22:00:42,639 INFO  [TableMetadata] - HHH000037: Columns: [credential_assessment, target_competence, student, created, assessor, description, title, type, points, competence, approved, deleted, default_assessment, id]
2018-02-15 22:00:42,639 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_tiy256v79b1c8vfiest7m8piw, fk_k9y34nq3hj6fdbdaftoligfkc, fk_lbo2bjanrdpkwedf9p6q6o248, fk_sbdq7cq4tot1uk0gtv1rcijwr]
2018-02-15 22:00:42,639 INFO  [TableMetadata] - HHH000126: Indexes: [fk_tiy256v79b1c8vfiest7m8piw, fk_k9y34nq3hj6fdbdaftoligfkc, uk_dp0vtj3joay6h019et10iqjap, fk_lbo2bjanrdpkwedf9p6q6o248, fk_sbdq7cq4tot1uk0gtv1rcijwr, primary]
2018-02-15 22:00:42,644 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence_bookmark
2018-02-15 22:00:42,644 INFO  [TableMetadata] - HHH000037: Columns: [competence, deleted, created, description, id, title, user]
2018-02-15 22:00:42,644 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_7fwnajpqa9j4dfaciibethkll, fk_pu790xeulgg9f166ehutb0p0v]
